Model,Type of device,Brand,Release year,Operating System,OS version,Kernel,UI and version,Comment
Samsung SGHi568,Smartphone,Samsung,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Samsung SGHi570,Smartphone,Samsung,[empty],Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Samsung SGHZ600,Smartphone,Samsung,[empty],Symbian OS,70s,[empty],S60 2nd Edition  version 2,[empty]
Sendo X,Smartphone,Sendo,[empty],Symbian OS,61,[empty],S60 1st Edition  Feature Pack 1  version 12,[empty]
Sendo X2,Smartphone,Sendo,[empty],Symbian OS,61,[empty],S60 1st Edition  Feature Pack 1  version 12,canceled  because Sendo went into administration
DoCoMo SH07B,Feature phone,Sharp,[empty],Symbian2,95,EKA2,MOAP(S),[empty]
Siemens SX1,Smartphone,Siemens,[empty],Symbian OS,61,[empty],S60 1st Edition  Feature Pack 1  version 12,[empty]
Sony Ericsson G700,Smartphone,Sony Ericsson,[empty],Symbian OS,91,[empty],UIQ 30,[empty]
Sony Ericsson G900,Smartphone,Sony Ericsson,[empty],Symbian OS,91,[empty],UIQ 30,[empty]
Sony Ericsson M600,Smartphone,Sony Ericsson,[empty],Symbian OS,91,[empty],UIQ 30,[empty]
Sony Ericsson P800,Smartphone,Sony Ericsson,[empty],Symbian OS,70,[empty],UIQ 20,First model with UIQ 20
Sony Ericsson P900,Smartphone,Sony Ericsson,[empty],Symbian OS,70,[empty],UIQ 21,[empty]
Sony Ericsson P910,Smartphone,Sony Ericsson,[empty],Symbian OS,70,[empty],UIQ 21,[empty]
Sony Ericsson P990,Smartphone,Sony Ericsson,[empty],Symbian OS,91,[empty],UIQ 30,First model with UIQ 30
Sony Ericsson P1,Smartphone,Sony Ericsson,[empty],Symbian OS,91,[empty],UIQ 30,[empty]
Sony Ericsson W950,Smartphone,Sony Ericsson,[empty],Symbian OS,91,[empty],UIQ 30,[empty]
Sony Ericsson W960,Smartphone,Sony Ericsson,[empty],Symbian OS,91,[empty],UIQ 30,[empty]
Sony Ericsson Satio,Smartphone,Sony Ericsson,[empty],Symbian1,94,EKA2,S60 5th Edition  version 5,[empty]
Sony Ericsson Vivaz,Smartphone,Sony Ericsson,[empty],Symbian1,94,EKA2,S60 5th Edition  version 5,[empty]
Sony Ericsson Vivaz Pro,Smartphone,Sony Ericsson,[empty],Symbian1,94,EKA2,S60 5th Edition  version 5,[empty]
