Engine,Origin,Designer,Vehicle,Use,Propellant,Specific impulse (s),Thrust (N),Mass (kg),Thrust:weight ratio,Chamber pressure (bar),Oxidiser:fuel ratio
YF-21C,[empty],AALPT,[empty],1st,[[Dinitrogen tetroxide|N2O4]]?/?UDMH,(SL)<ref name="casc-lm3a-2011"></ref>,(SL)<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty]
YF-25,[empty],AALPT,[empty],Booster,[[Dinitrogen tetroxide|N2O4]]?/?UDMH,(SL)<ref name="casc-lm3a-2011"></ref>,(SL)<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty]
YF-22B,[empty],AALPT,[empty],2nd,[[Dinitrogen tetroxide|N2O4]]?/?UDMH,<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty],[empty]
YF-22C,[empty],AALPT,[empty],2nd,[[Dinitrogen tetroxide|N2O4]]?/?UDMH,<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty],[empty]
YF-22D,[empty],AALPT,[empty],2nd,[[Dinitrogen tetroxide|N2O4]]?/?UDMH,<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty],[empty]
YF-22E,[empty],AALPT,[empty],2nd,[[Dinitrogen tetroxide|N2O4]]?/?UDMH,<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty],[empty]
YF-40,[empty],AALPT,[empty],3rd,[[Dinitrogen tetroxide|N2O4]]?/?UDMH,[empty],[empty],[empty],[empty],[empty],[empty]
YF-50D,[empty],AALPT,[empty],Upper,[[Dinitrogen tetroxide|N2O4]]?/?UDMH,[empty],[empty],[empty],[empty],[empty],[empty]
YF-73,[empty],AALPT,Long March 3,3rd,[[Liquid hydrogen|LH2]]?/?LOX,[empty],[empty],[empty],[empty],[empty],[empty]
YF-75,[empty],AALPT,[empty],3rd,[[Liquid hydrogen|LH2]]?/?LOX,<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty],[empty]
YF-75D,[empty],AALPT,Long March 5,2nd,[[Liquid hydrogen|LH2]]?/?LOX,[empty],[empty],[empty],[empty],[empty],[empty]
YF-77,[empty],AALPT,Long March 5,1st,[[Liquid hydrogen|LH2]]?/?LOX,(SL),(SL),[empty],[empty],[empty],[empty]
Zefiro 9A,[empty],Avio,Vega,3rd,Solid,[empty],[empty],[empty],[empty],[empty],[empty]
Zefiro 23,[empty],Avio,Vega,2nd,Solid,[empty],(SL),[empty],[empty],[empty],[empty]
