Polyot,[empty],RSC Energia,[empty],[empty],[empty]
Proton-K,[empty],Khrunichev,<ref>Encyclopedia Astronautica  Proton-K </ref>,<ref></ref>,[empty]
PSLV-G,[empty],ISRO,<ref name="GSP-PSLV" />,[empty],to SSO
Saturn I,[empty],Chrysler (S-I)<br />Douglas (S-IV),<ref>astronautix.com  Saturn I </ref>,[empty],[empty]
Saturn IB,[empty],Chrysler (S-IB)<br />Douglas (S-IVB),<ref>Encyclopedia Astronautica  Saturn IB </ref>,[empty],[empty]
Saturn V,[empty],Boeing (S-IC) North American (S-II) Douglas (S-IVB),<ref name="Space-Launch Capabilities"></ref><ref name="Report of the Synthesis Group"></ref>,[empty],to TLI<ref name="Rocket and Space Technology"/>
Scout,[empty],US Air Force/NASA,<ref></ref>,[empty],[empty]
Shtil',[empty],Makeyev,280–420<ref></ref>,[empty],[empty]
SLV,[empty],ISRO,<ref name="slv-3"></ref>,[empty],[empty]
Soyuz,[empty],RSC Energia,[empty],[empty],[empty]
Soyuz-FG,[empty],TsSKB-Progress,<ref name="Soyuz-FG"></ref>,[empty],[empty]
Soyuz-L,[empty],RSC Energia,[empty],[empty],[empty]
Soyuz-M,[empty],RSC Energia,[empty],[empty],[empty]
Soyuz-U,[empty],TsSKB-Progress,from Baikonour<ref name="soyuz-u launch vehicle"></ref> from Plesetsk<ref name="soyuz-u launch vehicle"/>,[empty],[empty]
Soyuz-U2,[empty],TsSKB-Progress,[empty],[empty],[empty]
Space Shuttle,[empty],ATK (SRBs) Martin Marietta (External tank) Rockwell (Orbiter),<ref group="note" name="spaceplane"/>,with IUS<ref name="gsp-shuttle"></ref> with PAM-D<ref></ref> }},to escape with IUS<ref name="gsp-shuttle" />
Sputnik 8K71PS,[empty],RSC Energia,<ref></ref>,[empty],[empty]
Sputnik 8A91,[empty],RSC Energia,[empty],[empty],[empty]
Start-1,[empty],MITT,[empty],[empty],to SSO<ref></ref>
Strela,[empty],Khrunichev,<ref></ref>,[empty],[empty]
Titan II GLV,[empty],Martin Marietta,<ref>astronautix.com  Titan II GLV </ref>,[empty],[empty]
Titan II(23)G,[empty],Martin Marietta,<ref>astronautix.com  Titan 23G </ref>,[empty],[empty]
Titan IIIA,[empty],Martin Marietta,<ref>Encyclopedia Astronautica  Titan 3A </ref>,[empty],[empty]
Titan IIIB,[empty],Martin Marietta,<ref>Encyclopedia Astronautica  Titan 3B </ref>,[empty],[empty]
Titan IIIC,[empty],Martin Marietta,<ref>astronautix.com  Titan IIIC </ref>,[empty],[empty]
Titan IIID,[empty],Martin Marietta,<ref>astronautix.com  Titan IIID </ref>,[empty],[empty]
